condition,loss_pct,delay_ms,jitter_ms,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,polarization_fidelity,attenuation_db_per_km,distance_km,run,note,source_file,lhs_point_id,detector_efficiency,dark_count_rate,alice_delay_ms,bob_delay_ms
baseline,,,,0.0052493438320209,3819.0,3112.0,0.3112,48.28795623779297,64.44671181929972,,,50.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0102301790281329,3919.0,2947.0,0.2947,48.32674312591553,60.98072846170452,,,50.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0052631578947368,3800.0,3095.0,0.3095,54.86537957191467,56.41080083922933,,,50.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0130548302872062,3837.0,2760.0,0.276,91.11705541610718,30.29070668927809,,,50.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0133689839572192,3740.0,2676.0,0.2676,49.77553868293762,53.7613468544399,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0052910052910052,3787.0,3084.0,0.3084,49.328924894332886,62.51910023594094,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0,3719.0,3348.0,0.3348,82.38936829566956,40.636311083064506,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0132275132275132,3783.0,2713.0,0.2713,68.01071119308472,39.890775326517335,,,1.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0079155672823219,3794.0,2959.0,0.2959,49.03320002555847,60.3468669892568,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0105263157894736,3803.0,2846.0,0.2846,49.20013666152954,57.8453677797472,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.016,3753.0,2578.0,0.2578,52.31942915916443,49.27423791565642,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0078947368421052,3806.0,2970.0,0.297,58.87211179733277,50.44833469239603,,,1.0,2.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0026178010471204,3821.0,3258.0,0.3258,49.27781939506531,66.11493852599851,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_1pct,1.0,,,0.0053619302949061,3733.0,3036.0,0.3036,49.467495918273926,61.37363421459267,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_5pct,5.0,,,0.0051546391752577,3884.0,3170.0,0.317,49.93842148780823,63.47817783495442,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
loss_15pct,15.0,,,0.0078947368421052,3801.0,2966.0,0.2966,72.31639242172241,41.014214076158375,,,1.0,3.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
baseline,,,,0.0104712041884816,3827.0,2866.0,0.2866,48.76185870170593,58.77544614392915,,,10.0,1.0,,joint_fault_dist_loss_NCSA_KY.csv,,,,,
