axis,value,condition,run,qber,sifted_bits,final_key_bits,secure_key_rate,elapsed_seconds,key_bits_per_sec,success,fail_reason
distance_km,100.0,distance_km_100,3,0.010416666666666666,3840,2878,0.2878,48.432382106781006,59.42305281732265,True,
distance_km,100.0,distance_km_100,4,0.0078125,3846,3005,0.3005,49.24928665161133,61.016112197874506,True,
distance_km,100.0,distance_km_100,5,0.010416666666666666,3848,2885,0.2885,48.708850145339966,59.229482761173564,True,
polarization_fidelity,0.8,polarization_fidelity_0.8,1,0.09090909090909091,3855,419,0.0419,51.118627071380615,8.196620762426193,True,
polarization_fidelity,0.8,polarization_fidelity_0.8,2,0.1171875,3847,0,0.0,48.84031915664673,0.0,False,qber_and_rate
polarization_fidelity,0.8,polarization_fidelity_0.8,3,0.08421052631578947,3805,569,0.0569,48.89106607437134,11.638118079373799,True,
polarization_fidelity,0.8,polarization_fidelity_0.8,4,0.11197916666666667,3848,0,0.0,48.89583730697632,0.0,False,qber_and_rate
polarization_fidelity,0.8,polarization_fidelity_0.8,5,0.0859375,3840,533,0.0533,48.39338970184326,11.013900933244576,True,
polarization_fidelity,0.85,polarization_fidelity_0.85,1,0.06153846153846154,3909,1171,0.1171,48.87941122055054,23.956917048699484,True,
polarization_fidelity,0.85,polarization_fidelity_0.85,2,0.06133333333333333,3751,1129,0.1129,50.43763089179993,22.384080696057257,True,
polarization_fidelity,0.85,polarization_fidelity_0.85,3,0.04922279792746114,3863,1508,0.1508,50.74007534980774,29.720097765004876,True,
polarization_fidelity,0.85,polarization_fidelity_0.85,4,0.07253886010362694,3864,867,0.0867,50.69512963294983,17.10223459881409,True,
polarization_fidelity,0.85,polarization_fidelity_0.85,5,0.05263157894736842,3809,1388,0.1388,49.22312879562378,28.198126245956985,True,
polarization_fidelity,0.9,polarization_fidelity_0.9,1,0.051490514905149054,3698,1380,0.138,47.97974991798401,28.762134074457556,True,
polarization_fidelity,0.9,polarization_fidelity_0.9,2,0.047244094488188976,3819,1550,0.155,48.895638942718506,31.700168634994892,True,
polarization_fidelity,0.9,polarization_fidelity_0.9,3,0.03664921465968586,3823,1880,0.188,48.86391234397888,38.474201303524104,True,
polarization_fidelity,0.9,polarization_fidelity_0.9,4,0.03978779840848806,3773,1756,0.1756,48.38488817214966,36.29232320951717,True,
polarization_fidelity,0.9,polarization_fidelity_0.9,5,0.0481283422459893,3744,1493,0.1493,48.05166149139404,31.070725832599845,True,
polarization_fidelity,0.95,polarization_fidelity_0.95,1,0.018134715025906734,3869,2571,0.2571,48.277339458465576,53.25479881118775,True,
polarization_fidelity,0.95,polarization_fidelity_0.95,2,0.031578947368421054,3804,2038,0.2038,48.539021492004395,41.98683733943236,True,
polarization_fidelity,0.95,polarization_fidelity_0.95,3,0.023376623376623377,3854,2358,0.2358,48.74072217941284,48.378437876244156,True,
polarization_fidelity,0.95,polarization_fidelity_0.95,4,0.02894736842105263,3803,2128,0.2128,48.97638940811157,43.44950752224206,True,
polarization_fidelity,0.95,polarization_fidelity_0.95,5,0.033854166666666664,3843,1982,0.1982,48.87294960021973,40.55413099092119,True,
polarization_fidelity,1.0,polarization_fidelity_1.0,1,0.0,3813,3432,0.3432,51.325451374053955,66.86740999096104,True,
polarization_fidelity,1.0,polarization_fidelity_1.0,2,0.0,3799,3420,0.342,49.8917772769928,68.5483698248029,True,
polarization_fidelity,1.0,polarization_fidelity_1.0,3,0.0,3886,3498,0.3498,49.2641978263855,71.0049113623545,True,
polarization_fidelity,1.0,polarization_fidelity_1.0,4,0.0,3784,3406,0.3406,50.54611849784851,67.38400694694245,True,
polarization_fidelity,1.0,polarization_fidelity_1.0,5,0.0,3884,3496,0.3496,49.29464817047119,70.92047777499297,True,
dark_count_rate_hz,100.0,dark_count_rate_hz_100,1,0.007957559681697613,3779,2946,0.2946,47.76876950263977,61.67209309917853,True,
dark_count_rate_hz,100.0,dark_count_rate_hz_100,2,0.007853403141361256,3829,2990,0.299,48.87093377113342,61.181560679859615,True,
dark_count_rate_hz,100.0,dark_count_rate_hz_100,3,0.01038961038961039,3852,2888,0.2888,48.429898262023926,59.63258449098605,True,
dark_count_rate_hz,100.0,dark_count_rate_hz_100,4,0.010582010582010581,3783,2828,0.2828,48.931390047073364,57.79521074875218,True,
dark_count_rate_hz,100.0,dark_count_rate_hz_100,5,0.018421052631578946,3800,2513,0.2513,48.937767028808594,51.35093308447547,True,
dark_count_rate_hz,1000.0,dark_count_rate_hz_1000,1,0.002652519893899204,3777,3219,0.3219,48.99339556694031,65.70273325109379,True,
dark_count_rate_hz,1000.0,dark_count_rate_hz_1000,2,0.01837270341207349,3819,2528,0.2528,48.59530735015869,52.02148392198089,True,
dark_count_rate_hz,1000.0,dark_count_rate_hz_1000,3,0.007874015748031496,3814,2977,0.2977,48.18143153190613,61.78728828404791,True,
dark_count_rate_hz,1000.0,dark_count_rate_hz_1000,4,0.013157894736842105,3804,2731,0.2731,48.8658082485199,55.88774846638743,True,
dark_count_rate_hz,1000.0,dark_count_rate_hz_1000,5,0.015584415584415584,3855,2665,0.2665,48.93203258514404,54.463300607077265,True,
dark_count_rate_hz,10000.0,dark_count_rate_hz_10000,1,0.007936507936507936,3786,2952,0.2952,49.249786615371704,59.93934599259015,True,
dark_count_rate_hz,10000.0,dark_count_rate_hz_10000,2,0.005263157894736842,3806,3101,0.3101,48.9029803276062,63.41126817273866,True,
dark_count_rate_hz,10000.0,dark_count_rate_hz_10000,3,0.010554089709762533,3792,2836,0.2836,48.98169255256653,57.89918339298792,True,
dark_count_rate_hz,10000.0,dark_count_rate_hz_10000,4,0.0158311345646438,3792,2612,0.2612,47.7450168132782,54.707279928605786,True,
dark_count_rate_hz,10000.0,dark_count_rate_hz_10000,5,0.01832460732984293,3820,2530,0.253,48.940213203430176,51.695729021112534,True,
dark_count_rate_hz,100000.0,dark_count_rate_hz_100000,1,0.013020833333333334,3845,2767,0.2767,49.32734131813049,56.09465108112317,True,
dark_count_rate_hz,100000.0,dark_count_rate_hz_100000,2,0.005194805194805195,3854,3143,0.3143,48.9390344619751,64.22276276092174,True,
dark_count_rate_hz,100000.0,dark_count_rate_hz_100000,3,0.005194805194805195,3852,3141,0.3141,48.84461283683777,64.30596574677139,True,
dark_count_rate_hz,100000.0,dark_count_rate_hz_100000,4,0.015957446808510637,3765,2588,0.2588,48.794349670410156,53.03892802099202,True,
dark_count_rate_hz,100000.0,dark_count_rate_hz_100000,5,0.013192612137203167,3793,2722,0.2722,48.82890248298645,55.7456723699336,True,
dark_count_rate_hz,1000000.0,dark_count_rate_hz_1000000,1,0.007894736842105263,3801,2966,0.2966,49.28034472465515,60.18626729524679,True,
dark_count_rate_hz,1000000.0,dark_count_rate_hz_1000000,2,0.002638522427440633,3794,3234,0.3234,49.36636996269226,65.51018441185846,True,
dark_count_rate_hz,1000000.0,dark_count_rate_hz_1000000,3,0.010554089709762533,3799,2842,0.2842,49.624414920806885,57.27019662670895,True,
dark_count_rate_hz,1000000.0,dark_count_rate_hz_1000000,4,0.015584415584415584,3854,2665,0.2665,48.94262766838074,54.45151041045793,True,
dark_count_rate_hz,1000000.0,dark_count_rate_hz_1000000,5,0.010416666666666666,3846,2883,0.2883,47.74158334732056,60.38760757107996,True,
efficiency,0.5,efficiency_0.5,1,0.01702127659574468,2359,1595,0.1595,48.87742781639099,32.6326501057226,True,
efficiency,0.5,efficiency_0.5,2,0.008333333333333333,2402,1861,0.1861,48.45234656333923,38.40887246951417,True,
efficiency,0.5,efficiency_0.5,3,0.012875536480686695,2339,1687,0.1687,49.38474798202515,34.16034441674233,True,
efficiency,0.5,efficiency_0.5,4,0.004201680672268907,2386,1979,0.1979,48.46026659011841,40.83757971739141,True,
efficiency,0.5,efficiency_0.5,5,0.01293103448275862,2323,1674,0.1674,48.41343855857849,34.577176293200516,True,
efficiency,0.6,efficiency_0.6,1,0.006944444444444444,2887,2288,0.2288,48.66445279121399,47.01583740839025,True,
efficiency,0.6,efficiency_0.6,2,0.0,2866,2580,0.258,49.36524438858032,52.26349088219712,True,
efficiency,0.6,efficiency_0.6,3,0.010830324909747292,2771,2063,0.2063,47.721442222595215,43.230043014567734,True,
efficiency,0.6,efficiency_0.6,4,0.006993006993006993,2860,2264,0.2264,48.46687412261963,46.71231724728426,True,
efficiency,0.6,efficiency_0.6,5,0.01048951048951049,2864,2144,0.2144,49.52634143829346,43.290094477729234,True,
efficiency,0.7,efficiency_0.7,1,0.01524390243902439,3282,2281,0.2281,48.24451470375061,47.279986419319734,True,
efficiency,0.7,efficiency_0.7,2,0.006060606060606061,3303,2655,0.2655,48.71432304382324,54.501424511463924,True,
efficiency,0.7,efficiency_0.7,3,0.020588235294117647,3404,2177,0.2177,48.83401608467102,44.57958149961292,True,
efficiency,0.7,efficiency_0.7,4,0.011976047904191617,3343,2445,0.2445,48.78133845329285,50.12162596442569,True,
efficiency,0.7,efficiency_0.7,5,0.011834319526627219,3383,2480,0.248,48.08461594581604,51.575747278393116,True,
efficiency,0.8,efficiency_0.8,1,0.010443864229765013,3835,2873,0.2873,49.27571415901184,58.30458368860735,True,
efficiency,0.8,efficiency_0.8,2,0.015706806282722512,3829,2643,0.2643,48.93096613883972,54.0148745990543,True,
efficiency,0.8,efficiency_0.8,3,0.015665796344647518,3833,2647,0.2647,48.92161464691162,54.10696313080711,True,
efficiency,0.8,efficiency_0.8,4,0.010471204188481676,3828,2867,0.2867,48.9365656375885,58.58604833923691,True,
efficiency,0.8,efficiency_0.8,5,0.021108179419525065,3794,2406,0.2406,47.58945608139038,50.55741750620374,True,
efficiency,0.9,efficiency_0.9,1,0.013986013986013986,4297,3046,0.3046,48.96773314476013,62.20422724072825,True,
efficiency,0.9,efficiency_0.9,2,0.016241299303944315,4319,2956,0.2956,52.18118476867676,56.64877125929925,True,
efficiency,0.9,efficiency_0.9,3,0.007042253521126761,4267,3376,0.3376,49.05892610549927,68.81520383752482,True,
efficiency,0.9,efficiency_0.9,4,0.006944444444444444,4324,3426,0.3426,49.44528102874756,69.28871529738336,True,
efficiency,0.9,efficiency_0.9,5,0.011933174224343675,4199,3074,0.3074,48.722283601760864,63.0922808365432,True,
efficiency,1.0,efficiency_1.0,1,0.00847457627118644,4721,3649,0.3649,49.17095613479614,74.21047477695399,True,
efficiency,1.0,efficiency_1.0,2,0.00631578947368421,4758,3809,0.3809,48.02488160133362,79.31305342133788,True,
efficiency,1.0,efficiency_1.0,3,0.012658227848101266,4747,3435,0.3435,49.12716031074524,69.92058930889776,True,
efficiency,1.0,efficiency_1.0,4,0.004166666666666667,4807,3989,0.3989,48.315556049346924,82.56140105116143,True,
efficiency,1.0,efficiency_1.0,5,0.018633540372670808,4837,3189,0.3189,49.2507221698761,64.75031957908085,True,
